Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Candidate Vote Details
,,"TANGAERE-MANUEL, Cushla","TUHAKARAINA, Ueraata Butch-Keegan","WHAITIRI, Meka",Total Valid Candidate Votes,Informal Candidate Votes
Norsewood,"Norsewood & Districts School, Staffroom, Coronation Street",2,1,5,8,0
Pahiatua,"Pahiatua School Hall, (corner Albert Street & Mangahao Road)",11,2,19,32,4
Pirinoa,"Pirinoa School, 2782 Lake Ferry Road",6,0,11,17,0
Pongaroa,"Pongaroa School, 9 Makomako Street",1,1,5,7,0
Pōrangahau,"Pōrangahau School, Te Awa Putahi Room, 58 Keppel Street",21,1,18,40,0
Takapau,"Takapau School Hall, 15 Charles Street",17,2,12,31,1
Tīnui,"Tīnui War Memorial Hall, 3 Black Hill Road",3,0,4,7,0
Waipawa,"Central Hawkes Bay District Council, Council Chambers, 28-32 Ruataniwha Street",10,1,6,17,1
,"Waipawa School, Technology Block, 6 Harker Street",17,1,10,28,1
Waipukurau,"Central Hawkes Bay College Library, 45 Tavistock Road",25,1,17,43,0
,"The Terrace School Staffroom, 164 Porangahau Road",12,2,10,24,0
,"Waipukurau School Hall, St Marys Road",16,4,17,37,0
Woodville,"Woodville School Hall, 87 Vogel Street, access from Bevan Street",19,2,16,37,2
Wellington Central
Wellington City,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",2,1,5,8,0

,Overseas Special Votes Including Defence Force - Ikaroa-Rāwhiti,130,10,242,382,9
,Special Votes BEFORE Polling Day - Ikaroa-Rāwhiti,1186,56,1324,2566,77
,Special Votes ON Polling Day - Ikaroa-Rāwhiti,1314,65,1200,2579,99
,Voting places where less than 6 votes were taken,57,4,58,119,8

,Ikaroa-Rāwhiti Total,13747,787,10873,25407,711

,Valid Candidate Votes plus Informal Candidate Votes,,26118

Electorate Candidate Valid Votes,Party,,,"TANGAERE-MANUEL, Cushla - majority 2874"
"TANGAERE-MANUEL, Cushla",Labour Party,13747,54.11
"TUHAKARAINA, Ueraata Butch-Keegan",Vision New Zealand,787,3.10
"WHAITIRI, Meka",Te Pāti Māori,10873,42.80
