Party and Electorate Candidate Votes Recorded at each Voting Place
Hauraki-Waikato 66,Candidate Vote Details
,,"MAHUTA, Nanaia Cybele","MAIPI-CLARKE, Hana-Rawhiti","POKERE-PHILLIPS, Donna",Total Valid Candidate Votes,Informal Candidate Votes
Ngāruawāhia,"Ngāruawāhia Primary School, Galileo Street",31,31,7,69,1
,"Ngāruawāhia War Memorial Hall, 5 Galileo Street",89,80,7,176,2
,"Tūrangawaewae Marae, 29 River Road",62,56,4,122,1
,"Waipa School, Kia Toa Street",22,21,2,45,1
Ohinewai,"Ohinewai School, Room 6, 39 Ohinewai South Road",5,1,0,6,0
Okauia,"Okauia Hall, 375 Okauia Springs Road",4,5,0,9,0
Orini,"Orini Hall, 1331 Orini Road",3,3,0,6,0
Puketaha,"Puketaha School, 395 Puketaha Road",1,4,2,7,0
Rototuna North,"Te Totara Primary School, 31 Hector Drive",8,9,0,17,0
Tahuna,"Tahuna School, Resolution Room, 43 Tahuna-Ohinewai Road",6,5,0,11,0
Tamahere,"Tamahere WDC Community Hub, (corner Wiremu Tamihana Drive & Devine Road)",4,11,1,16,0
Taupiri,"Taupiri School, 8 Greenlane Road",18,19,1,38,0
Tauwhare,"Tauwhare School, 26 Scotmans Valley Road",11,3,0,14,2
Te Aroha,"Te Aroha Silver Fern Farms Events Centre, Ballance Room, 44 Stanley Avenue",7,9,1,17,0
,"Te Aroha St Joseph's Parish Hall, 224 Whittaker Street",11,19,4,34,0
Te Poi,"Te Poi School, 3 Stopford Road",6,5,0,11,1
Waharoa,"Te Kura O Waharoa, 32 Ward Street",37,45,1,83,3
Waihou,"Waihou Community Hall, 2 Second Avenue",3,5,0,8,0
Walton,"Walton School, Marlow Room, 305 Walton Road",5,1,0,6,0

,Overseas Special Votes Including Defence Force - Hauraki-Waikato,130,210,53,393,11
,Special Votes BEFORE Polling Day - Hauraki-Waikato,1240,2107,114,3461,143
,Special Votes ON Polling Day - Hauraki-Waikato,1065,1650,103,2818,124
,Voting places where less than 6 votes were taken,59,80,31,170,21

,Hauraki-Waikato Total,10028,12939,1220,24187,873

,Valid Candidate Votes plus Informal Candidate Votes,,25060

Electorate Candidate Valid Votes,Party,,,"MAIPI-CLARKE, Hana-Rawhiti - majority 2911"
"MAHUTA, Nanaia Cybele",Labour Party,10028,41.46
"MAIPI-CLARKE, Hana-Rawhiti",Te Pāti Māori,12939,53.50
"POKERE-PHILLIPS, Donna",NZ Outdoors & Freedom Party,1220,5.04
