Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Candidate Vote Details
,,"DAVIS, Kelvin Glen","HERBERT, Maki","KAPA-KINGI, Mariameno","LYNDON, Hūhana","TOAUTU, Paturiri",Total Valid Candidate Votes,Informal Candidate Votes
Advance Voting Places
Auckland Central
,"Kaikohe War Memorial Hall, Supper Room, Memorial Avenue",38,4,30,9,0,81,1
,"Kaikohe West School, 23 Tawanui Road",5,3,3,3,1,15,0
,"Te Wā Kaikohe, 115B Broadway",32,5,35,8,0,80,0
Kaingaroa,"Kaingaroa School Hall, 5465 State Highway 10",0,1,2,2,3,8,0
Kaitaia,"Far North REAP Centre, 33 Puckey Avenue",44,11,42,11,1,109,9
,"Kaitaia Intermediate School, 45 North Road",46,5,35,10,2,98,5
,"Te Ahu, (corner South Road & Matthews Avenue)",69,14,45,19,2,149,7
Kaiwaka,"Kaiwaka War Memorial Hall, 4 Kaiwaka-Mangawhai Road",18,3,11,4,1,37,6
Karetu,"Karetu School, 40 Kura Road",14,1,2,0,0,17,2
Kawakawa,"Kawakawa Primary School Hall, 31-39 Albert Street",21,1,12,2,0,36,0
,"Te Hononga Work Room, Hundertwasser Memorial Park, Gillies Street",66,7,38,24,2,137,2
Kerikeri,"Cornerstone Whare Karakia O Manako, 144 Kerikeri Road",21,0,13,1,2,37,2
,"Kerikeri Baptist Church, 41 Hobson Avenue",21,4,24,8,0,57,3
,"Kerikeri Primary School, 39 Hone Heke Road",16,2,7,6,1,32,1
,"Riverview School, 23 Riverview Road",13,1,10,5,1,30,0
Kohukohu,"Kohukohu Town Hall, 25 Beach Road",17,9,2,3,0,31,0
Mangamuka,"Mangamuka Tautoko FM Radio Building, 3 Mangamuka Road (corner State Highway 1 & Mangamuka Road)",19,3,12,9,2,45,2
Mangawhai,"Mangawhai Beach School Recreation Centre, 34 Insley Street",1,1,3,3,1,9,0
Mangawhai Heads,"New World Mangawhai Car Park, 83 Molesworth Drive",8,3,12,2,1,26,3
Mangōnui,"Mangōnui School, 19 Colonel Mould Drive",13,3,9,5,0,30,0
Matauri Bay,"Matauri Bay School, 2223 Whakarara Road",20,9,15,4,0,48,3
Maungakaramea,"Maungakaramea School Library, Tangihua Road",4,1,1,6,0,12,0
Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",8,4,11,1,0,24,0
Moerewa,"Moerewa School, 70 Otiria Road",83,7,39,15,0,144,1
Ngataki,"Ngataki School, 5265 Far North Road",20,0,16,2,0,38,2
Ōakura,"Ōakura Hall, 153 Oakura Road",13,1,30,17,1,62,1
Ōhaeawai,"Ōhaeawai School, 22 Tennyson Street",4,5,5,1,0,15,0
Ōkaihau,"Ōkaihau Primary School, 77 Settlers Way",20,2,17,1,0,40,2
Ōmāpere,"Opononi Area School, 263 State Highway 12",26,9,30,14,3,82,3
Opononi,"Te Kura Kaupapa Māori o Hokianga, 68 Koutu Point Road",5,2,11,7,0,25,0
Opua,"Opua School Hall, 2 Franklin Street",9,1,4,4,0,18,1
Opuawhanga,"Opuawhanga Hall, 968 Whananaki North Road",3,0,2,1,0,6,0
Oromahoe,"Oromahoe School, 50 Oromahoe School Road",7,0,2,2,1,12,0
Paihia,"Paihia War Memorial & Community Hall, 8 Williams Road",33,4,25,11,1,74,0
Pakaraka,"Pakaraka School, State Highway 10",10,1,2,3,0,16,0
Pakotai,"Pakotai School, Ruddell Road, off Mangakahia Road",16,6,4,5,0,31,1
Pāmapūria,"Pāmapūria School, 6970 State Highway 1",14,1,16,0,0,31,2
Panguru,"Te Kura Taumata O Panguru, 2178 West Coast Road",31,6,23,8,1,69,1
Paparoa,"Paparoa School, 14 Franklin Road",7,2,6,5,0,20,2
Pawarenga,"Te Kura ā-Iwi O Pawarenga, 42 Te Riha Road",8,4,5,1,0,18,1
Peria,"Peria School, 1430 Oruru Road",8,2,9,1,0,20,2
Pipiwai,"Te Horo School, 3239 Pipiwai Road",19,3,6,7,0,35,1
Poroti,"Poroti School, 673 Mangakahia Road",5,2,9,6,0,22,1
Pouto,"Rangitane Community Centre, 5226 Pouto Road",7,0,2,2,0,11,1
Pukenui,"Pukenui School, 35 Lamb Road",12,9,17,6,2,46,1
