Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Candidate Vote Details
,,"HIPANGO, Harete Makere","NGAREWA-PACKER, Debbie Anne","PEKE, Soraya Waiata","WINIATA, Paris James",Total Valid Candidate Votes,Informal Candidate Votes
Taumarunui,"Ruapehu Community Arts Centre, 40 Hakiaha Street",9,140,72,10,231,6
Turitea,"MUSA Student Centre Lounge, Massey University Concourse, University Avenue",1,45,4,1,51,0
Waiouru,"Waiouru Primary School, Ruapehu Road",1,6,3,0,10,1
Whakarongo,"Whakarongo Community Hall, 17 Stoney Creek Road",2,6,1,0,9,0
Taranaki-King Country
Inglewood,"Inglewood Club, Moa Street",8,17,10,1,36,1
,"Inglewood Primary School, 33 Kelly Street",2,5,3,1,11,0
Kihikihi,"Kihikihi Town Hall, 26 Lyon Street",1,24,5,0,30,0
Ōtorohanga,"Ōtorohanga Library, 27 Turongo Street",16,111,73,6,206,6
Taken in Taranaki-King Country,"Pop-up Voting Services, Various Locations - Taharoa Region",0,15,7,0,22,2
Te Awamutu,"Te Awamutu Scout Hall, 11 Scout Lane",1,22,17,1,41,2
Te Kūiti,"Les Munro Centre, 8 King Street East",3,209,97,7,316,8
,"Te Kuiti Primary School, 1 Rora Street",0,6,4,1,11,0
Taupō
Putāruru,"Putaruru Bridge Club, 3 Overdale Street",6,91,73,4,174,3
Taupō,"Taupō Town Centre, Retail Space, 40 Horomātangi Street",1,5,4,0,10,0
,"Taupō Town Centre, Retail Space, 85 Tongariro Street",1,4,4,0,9,1
,"Unit 6, opposite the Hospice Shop, 29 Totara Street",1,5,1,0,7,0
Tokoroa,"St John Ambulance Hall, 62 Logan Street",6,74,41,5,126,3
Tūrangi,"Tongariro Senior Citizens Hall, 83 The Town Centre",0,5,1,0,6,0
Wellington Central
Kelburn,"Victoria University, The Hub, Kelburn Parade",0,13,2,0,15,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",4,37,11,1,53,1
,"Manners Street Shop, next to Department of Conservation, 18 Manners Street",1,27,5,0,33,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",1,53,8,0,62,0
Whanganui
Aramoho,"Aramoho School Hall, Pasifika Innovation Hub, 2 Mitchell Street",2,46,43,1,92,1
Eltham,"All Saints Church Hall, 88 King Edward Street",3,40,16,4,63,5
Gonville,"Baden Powell Scout Hall, 13 Swiss Avenue",10,119,85,5,219,6
Hāwera,"Presbyterian Centre, 35 Argyle Street",28,323,78,3,432,4
Pātea,"Patea Old Folks Association Hall, 139 Egmont Street",3,104,21,3,131,4
Springvale,"Jubilee Stadium, 228 London Street",5,97,28,2,132,1
Stratford,"Stratford War Memorial Hall, 55 Miranda Street",13,38,30,2,83,3
Taken in Whanganui,"Hospitals and Care Homes Team, Team 1",1,9,3,0,13,1
,"Pop-up Voting Services - Te Awa Tupua, Various Locations",3,47,24,0,74,1
Tawhero,"Whanganui Cook Island Community Hall, 71 Puriri Street (corner Harper Street)",5,168,80,10,263,3
Whanganui,"St Andrew's Presbyterian Church, 42 Glasgow Street",6,46,26,5,83,0
