Party and Electorate Candidate Votes Recorded at each Voting Place
Tāmaki Makaurau 68,Candidate Vote Details
,,"HENARE, Peeni Ereatara Gladwyn","KEMP, Takutai Tarsh","TAMAKI, Hannah Radclavina","TANA, Darleen","TE HAU, Te Hinurewa Ngahiwi Tame Kawe",Total Valid Candidate Votes,Informal Candidate Votes
Panmure,"Mt Wellington Bowling Club, 3 Matapan Road",16,6,1,4,0,27,3
,"Panmure Library, 7-13 Pilkington Road",42,25,4,14,4,89,1
Papatoetoe,"Hunters Plaza Shopping Centre, Shop adjacent to Countdown, 217 Great South Road",123,84,14,21,9,251,2
,"Indian Association Manukau, Diversity Centre, 25 Tui Road",7,5,0,1,0,13,0
,"Swaminarayan Complex, 1/7 Wilmay Avenue",11,7,0,2,1,21,1
Taken in Panmure-Ōtāhuhu,"Mobile Team, Team 1",11,5,0,0,0,16,1
Papakura
Papakura,"Papakura Library, Accent Point Building, Level 3, Library Foyer, 28 East Street",33,7,0,4,1,45,1
,"Papakura Marae, 29 Hunua Road",10,18,1,3,2,34,0
Takanini
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",21,13,3,2,1,40,2
Flat Bush,"Old Flat Bush School Hall, (corner Murphy's Road & Flat Bush Road)",6,3,1,1,3,14,0
Goodwood Heights,"Connect Baptist Church, 75 Everglade Drive",33,25,10,3,5,76,0
Manurewa East,"Manurewa Scout Hall, 23 Alfriston Road, Gallahar Park entrance",35,37,5,10,3,90,3
Randwick Park,"Randwick Park School Hall, Magic Way entrance",15,13,2,3,0,33,0
Takanini,"Bruce Pulman Park, Arena Cafe, Gate A, 90 Walters Road",7,19,3,2,2,33,0
,"Takanini Hall, 8 Takanini Road",60,54,9,7,10,140,2
,"The Warehouse Takanini, 30 Walters Road",55,45,15,10,8,133,1
The Gardens,"Auckland Botanic Gardens, Education Centre, 102 Hill Road",19,23,2,5,5,54,0
Wattle Downs,"Elim Christian Centre, Gate 1 & 2, 198 Mahia Road",6,13,0,2,1,22,0
Te Atatū
Henderson,"Te Pai Centre, 31-35 Te Pai Place",9,16,1,7,4,37,0
,"WestCity Mall, Level 2, open space near theatre escalators, 7 Catherine Street",53,64,3,11,6,137,3
,"WestCity Mall, Level 2, Shop next to Foot Locker, 7 Catherine Street",40,59,1,11,4,115,3
Te Atatū South,"St Giles Presbyterian Church, 1 Flanshaw Road",27,37,1,9,4,78,1
Tāmaki
Glen Innes,"PAK’nSAVE Glen Innes, 182 Apirana Avenue",171,130,9,37,23,370,5
,"Ruapōtaka Marae, 106 Line Road",72,104,4,21,4,205,3
Kohimarama,"St Thomas Tāmaki Church, 368 Kohimarama Road",5,8,1,2,6,22,0
Ōrākei,"Ōrākei Community Centre, 156 Kepa Road",43,44,2,9,12,110,0
,"Ōrākei Marae, 59B Kitemoana Street",59,62,1,7,1,130,1
Remuera,"Remuera Baptist Church, 641 Remuera Road",6,4,0,4,6,20,0
St Heliers,"St Heliers Church & Community Centre, 100 St Heliers Bay Road",10,3,1,6,6,26,1
St Johns,"Auckland Netball Centre, 7 Allison Ferguson Drive",6,5,2,1,2,16,0
,"St John's Theological College, Wesley Hall, 202-210 St John's Road",16,19,1,5,5,46,0

Voting Places
Auckland Central
Auckland City,"Atrium on Elliot, Shop 925, next to Rebel Sport, 21-25 Elliot Street",10,5,1,5,0,21,0
,"Auckland High Court, 24 Waterloo Quadrant (corner Waterloo Quadrant & Parliament Street)",5,10,1,5,1,22,1
