Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tonga 71,Candidate Vote Details
,,"FERRIS, Tākuta","FUIMAONO KARENA, Geoffrey Wayne Puhi","ROBIN, Rebecca Rae","TIRIKATENE, Rino",Total Valid Candidate Votes,Informal Candidate Votes
West Coast-Tasman
Greymouth,"Elim Church, 41 Guiness Street",14,4,4,9,31,1
,"Tai Poutini Polytechnic, Conference Room, 73-87 Tainui Street",14,1,2,11,28,0
Hokitika,"Hokitika Westland RSA, 22 Sewell Street",27,5,9,30,71,8
Motueka,"Baptist Church, 15 Greenwood Street",9,1,1,14,25,3
,"Motueka Library, 32 Wallace Street",55,1,9,45,110,3
Reefton,"St John Station, 8 Smith Street",2,0,1,6,9,0
Tākaka,"Tākaka Anglican Church Hall, 42 Commercial Street",17,4,1,16,38,2
Taken in West Coast-Tasman,"Pop-up Voting Services, Various Locations - Buller",5,0,0,7,12,0
,"Pop-up Voting Services, Various Locations - Greymouth",3,1,0,4,8,0
Westport,"Buller REAP, 111 Palmerston Street",17,5,10,21,53,3
Wigram
Addington,"Wolfbrook Arena (formerly Christchurch Arena), last door beyond Cafe, 55 Jack Hinton Drive",8,1,1,4,14,1
Hei Hei,"Hei Hei Community Centre, 12 Wycola Avenue",29,2,10,42,83,3
Hoon Hay,"Hoon Hay Community Centre, 90 Hoon Hay Road",24,0,4,24,52,1
Hornby,"Hornby Community Care Centre, 8 Goulding Avenue",9,0,2,12,23,2
,"The Hub Hornby, Shop 104, the old AMI site via the banking entrance, 418 Main South Road",57,6,11,86,160,2
Riccarton,"Rārākau Riccarton Community Centre, 199 Clarence Street",11,0,0,12,23,1
,"Westfield Riccarton, Level 2, 129 Riccarton Road",56,5,15,51,127,3
Spreydon,"Barrington Mall, 256 Barrington Street",44,4,8,71,127,3
Taken in Wigram,"Hospital and Care Homes Team, Team A",1,2,0,6,9,1
Upper Riccarton,"The Warehouse Riccarton, 265 Blenheim Road",40,3,2,37,82,2
Wigram,"Harvard Community Lounge, Wigram Village Green, Corsair Drive",26,2,5,22,55,4
Ōhāriu
Churton Park,"Churton Park Community Centre, 75 Lakewood Avenue",5,0,0,4,9,0
Johnsonville,"Johnsonville Shopping Centre, adjacent to Countdown entrance, 16 Broderick Road",121,0,5,71,197,2
Khandallah,"Khandallah Bowling Club, 24 Woodmancote Road",4,0,0,4,8,1
,"Khandallah Town Hall, 11 Ganges Road",7,2,0,9,18,1
Newlands,"Newlands Community Centre, 9 Batchelor Street",27,1,2,17,47,2
Ngaio,"Cummings Library, 1 Ottawa Road",3,0,0,9,12,2
,"Ngaio Town Hall, 1 Ottawa Road",4,0,0,2,6,0
Wadestown,"St Luke's Centre, 34 Pitt Street (corner Wadestown Road)",7,0,0,2,9,0

Voting Places
Banks Peninsula
Akaroa,"Akaroa Area School Gymnasium, 141 Rue Jolie, Selwyn Avenue entrance",5,0,1,6,12,1
Cashmere,"Landsdowne Community Centre, 8 Landsdowne Terrace",3,0,0,5,8,0
Governors Bay,"Governors Bay Community Centre, 1 Cresswell Avenue",4,0,1,4,9,2
Halswell,"Halswell School Hall, (corner Kennedys Bush & School Road)",3,0,0,3,6,0
,"Oaklands School Hall, 37 Cunningham Place",4,2,2,4,12,0
,"St Mary's Anglican Church Hall, 329 Halswell Road",2,1,3,5,11,0
,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",11,0,0,9,20,0
Heathcote Valley,"Heathcote Valley School Hall, 61 Bridle Path Road",9,1,2,7,19,1
Huntsbury,"Huntsbury Community Centre, 30H Huntsbury Avenue",3,1,0,4,8,1
Linwood,"Te Pou Toetoe, Linwood Pool, Weka Room, 141 Smith Street",13,0,3,7,23,0
Little River,"Little River School, 46 Western Valley Road",5,0,1,6,12,0
Lower Cashmere,"Thorrington School Hall, 22A Colombo Street",5,0,4,12,21,2
Lyttelton,"Lyttelton Mt Herbert Community Facility, 25 Canterbury Street",11,0,3,9,23,0
,"Lyttelton Primary School Hall LAF, 34 Oxford Street",3,0,0,7,10,0
Mount Pleasant,"Mt Pleasant Community Centre, 3 McCormacks Bay Road",2,0,4,5,11,1
,"Mt Pleasant School Hall, 82 Major Hornbrook Road",3,1,1,3,8,0
Opawa,"Opawa Community Church, 1-5 Aynsley Terrace (corner of Opawa Road & Aynsley Terrace)",9,2,2,5,18,0
Redcliffs,"St Andrew's Anglican Church, 148 Main Road",3,1,1,2,7,0
Somerfield,"Pioneer Recreation & Sport Centre, 1st Floor, 75 Lyttelton Street",8,0,2,14,24,0
,"Somerfield School Hall, 42 Studholme Street",3,1,0,4,8,0
,"Te Kura Kaupapa Māori o Te Whānau Tahi, Wharenui, 83 Lyttelton Street",39,2,3,8,52,1
St Martins,"Hillview Christian Junior School, 150 Wilsons Road",7,1,4,2,14,0
,"St Martins School Hall, opposite Roscoe Street, 24 Albert Terrace",9,0,1,8,18,0
Sumner,"Sumner School, 21 Colenso Street, Dryden Street West entrance",1,1,0,5,7,0
Woolston,"Ara Woolston Campus, Student Services Building, (corner Ensors Road & Sullivan Avenue)",2,0,1,4,7,1
,"St John's Church Hall, 2 St Johns Street (corner Ferry Road)",20,2,8,19,49,2
,"Te Waka Unua School Hall, 476 Ferry Road (corner Ferry Road & Hopkins Street)",10,1,2,8,21,0
,"Woolston Club, Kellaway Room, 43 Hargood Street, Garden Gate entrance",5,1,2,7,15,0
Christchurch Central
Addington,"Kidsfirst Kindergarten Selwyn Street, 366 Selwyn Street",9,0,0,9,18,0
Beckenham,"Beckenham Te Kura o Pūroto School Hall, 71 Sandwich Road",6,0,0,5,11,0
,"St Peter's Parish Centre Hall, 11 Fisher Avenue",0,0,3,6,9,0
Christchurch Central City,"Christchurch Bridge Club Inc, 21 Nova Place",3,0,2,3,8,0
,"Christchurch Public Hospital, Great Escape Café, Level 1, 2 Riccarton Avenue",5,0,2,4,11,1
,"South City Shopping Centre, 555 Colombo Street",18,1,5,11,35,2
,"Te Whare Roimata, 274 Gloucester Street",6,0,1,6,13,0
,"Tūranga Library, 60 Cathedral Square",11,0,3,8,22,0
Linwood,"Linwood Community Arts Centre, 388 Worcester Street",10,2,1,11,24,0
,"Te Aratai College, Waita Room, 85 Aldwins Road",2,0,1,4,7,1
Mairehau,"Mairehau High School Hall, 440 Hills Road",5,0,0,9,14,0
,"St Albans Uniting Parish Hall, 36 Nancy Avenue",3,0,1,6,10,0
,"St Francis of Assisi School Hall, 370 Innes Road",3,1,2,4,10,0
Opawa,"St Mark's Church Hall, 101 Opawa Road, Vincent Place entrance",3,0,0,5,8,0
Papanui,"Northcity Church Hall, 95A Sawyers Arms Road",5,1,0,5,11,0
,"Northlands Shopping Centre, near Muffin Break, 55 Main North Road",25,1,5,9,40,1
,"Papanui High School Hall, 30 Langdons Road",7,0,1,6,14,0
,"Papanui Primary School Hall, 40 Winters Road",1,0,2,3,6,0
Phillipstown,"Phillipstown Community Hub, Room 5, 39A Nursery Road",5,3,3,2,13,0
,"Te Wai Pounamu Māori Cultural Centre, 290 Ferry Road",5,0,0,5,10,0
Redwood,"Redwood Primary School Hall, 51 Prestons Road",8,2,1,6,17,0
,"Te Kura o Matarangi Northcote School, 26 Tuckers Road",4,0,2,10,16,1
,"The Village Presbyterian Church (St Lukes), 2 Daniels Road",6,0,3,6,15,0
St Albans,"Rehua Marae, The Boardroom, 79 Springfield Road",14,0,3,13,30,0
,"St Albans Community Centre, Wardle Room, 1049 Colombo Street",5,0,0,4,9,0
,"St Albans School Hall, 17 Sheppard Place",4,1,1,11,17,0
Sydenham,"Learning Needs Library, 109 Huxley Street",4,0,5,6,15,0
Waltham,"Canterbury Mineral and Lapidary Club, 110 Waltham Road",3,1,7,0,11,0
,"Opawa Baptist Church Hall, 285 Wilsons Road",7,0,1,4,12,0
Christchurch East
Aranui,"Aranui Wainoni Community Hall, 31 Hampshire Street",21,1,10,18,50,4
,"Haeata Community Campus, 240 Breezes Road",17,1,2,12,32,1
,"Ngā Hau e Whā Marae, He Tāngata, 250A Pages Road",38,1,4,13,56,3
Avondale,"Kidsfirst Kindergarten Woolley Street, 63 Woolley Street",10,0,2,4,16,0
Bromley,"Bromley Community Centre, (corner Maces Road & Bromley Road)",16,2,4,9,31,1
Burwood,"Legacy Community Church, 54 Bassett Street",4,1,1,10,16,0
,"Waitākiri School Hall, 170 Burwood Road",6,1,4,13,24,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",32,2,11,29,74,3
Linwood North,"Whītau School, 221 Woodham Road",12,1,5,17,35,2
Marshland,"Marshland School Hall, 11 Te Korari Street",5,0,0,2,7,0
,"Preston's Road Mall, next to New World, 420 Marshland Road",15,4,4,8,31,0
New Brighton,"New Brighton Club, 202 Marine Parade",21,0,5,11,37,2
,"Nova Montessori School, 53 Owles Terrace",7,0,1,3,11,0
North New Brighton,"North New Brighton Community Centre, 88 Marine Parade",9,0,2,5,16,0
,"Rāwhiti School Hall, 150 Leaver Terrace",9,0,7,5,21,1
,"Shirley Boys & Avonside Girls High School - Te Paeroa, 209 Travis Road",5,0,2,9,16,0
Parklands,"Parklands Recreation Centre, 75 Queenspark Drive",17,1,4,9,31,2
Queenspark,"Queenspark School Hall, 222 Queenspark Drive",3,1,2,10,16,1
Richmond,"Delta Community Support Trust, 101 North Avon Road",1,1,4,5,11,0
,"Pareawa Banks Avenue School Hall, 57 Averill Street",1,0,2,6,9,0
,"Richmond Community Cottage, next to Richmond Village Green, 74 London Street",4,1,4,3,12,1
Shirley,"Kidsfirst Kindergartens, MacFarlane Park, 19 Acheson Avenue",7,1,2,8,18,1
,"Shirley Primary School, 11 Shirley Road",4,0,2,7,13,0
,"The Palms Shopping Centre, (corner Marshland Road & New Brighton Road)",30,1,7,25,63,2
South New Brighton,"South New Brighton School, 160 Estuary Road",15,0,2,14,31,0
Spencerville,"Spencerville Community Hall, 6A Heyders Road",4,2,1,1,8,0
Wainoni,"Ottawa Gardens Preschool, 49 Ottawa Road",9,2,0,3,14,0
Dunedin
Andersons Bay,"Edgar Centre, 116 Portsmouth Drive",4,0,2,5,11,0
Brockville,"Brockville School, 263 Brockville Road",16,2,5,12,35,2
Central Dunedin,"Dunedin Hospital, 1st Floor, Octagonal Room, 201 Great King Street",5,1,1,4,11,1
,"Exchange Area Voting Place, 1 Queens Gardens",5,0,1,1,7,0
,"Meridian Mall, Hanover Street entrance, 285 George Street",14,2,2,8,26,1
,"Municipal Chambers, The Octagon",3,0,2,2,7,0
,"Otago Boys' High School, 2 Arthur Street",1,0,1,4,6,0
,"Te Hou Ora Whānau Services, 78 Carroll Street",14,1,0,2,17,0
,"The Salvation Army, 575 Princes Street",6,0,0,1,7,0
Dunedin North,"University of Otago, ISB Link, 65 Albany Street",24,1,1,10,36,0
Halfway Bush,"Halfway Bush School Hall, 54 Ashmore Street",4,1,2,5,12,1
Kaikorai,"Kaikorai Presbyterian Church Hall, 127 Taieri Road",8,0,2,15,25,0
Karitāne,"Karitāne Primary School, 183 Coast Road",2,1,1,2,6,1
Macandrew Bay,"Macandrew Bay School, 488 Portobello Road",4,0,0,11,15,0
Māori Hill,"Balmacewen Bowling Club, 31 Balmacewen Road",5,0,1,2,8,0
Maryhill,"St Francis Xavier School, Parish Centre, 27 Benhar Street",4,0,4,5,13,0
Mornington,"Mornington School Hall, 34 Elgin Road",13,0,6,10,29,0
North East Valley,"Dunedin North Intermediate School, Design Lobby, 34 North Road",14,2,4,11,31,0
,"North East Valley Normal School, 248 North Road",8,0,0,9,17,0
Opoho,"Opoho School, 96 Signal Hill Road",5,0,2,4,11,0
Otakou,"Te Rūnanga o Ōtākou, Ōtākou Marae, 45 Tamatea Road",8,0,2,15,25,0
Pine Hill,"Pine Hill School, 11 Hislop Street",4,0,2,8,14,1
Port Chalmers,"Port Chalmers Town Hall, 1 Grey Street",3,0,5,13,21,0
